order_status,payment_value,payment_installments,payment_sequential,payment_type,TIME_TO_CARRY,TIME_TO_DELIVER_ORDER,COMPARE_ESTIMATED_TO_DELIVERED_TIME,ESTIMATED_TIME_TO_DELIVERY,ORDER_PURCHASE_YEAR,ORDER_PURCHASE_MONTH,ORDER_PURCHASE_DAY,ORDER_PURCHASE_WEEKDAY
delivered,2439.00,1,1,credit_card,2,14,6,20,2018,7,24,Tuesday
delivered,10778.00,8,1,credit_card,4,14,13,27,2017,11,18,Saturday
delivered,34109.00,6,1,credit_card,3,10,32,42,2017,1,23,Monday
delivered,7578.00,1,1,credit_card,4,12,29,41,2018,6,7,Thursday
delivered,4769.00,4,1,credit_card,18,21,-11,10,2017,9,18,Monday
delivered,35309.00,10,1,credit_card,16,18,26,44,2018,1,8,Monday
delivered,29016.00,2,1,credit_card,8,14,7,21,2018,5,2,Wednseday
delivered,8968.00,1,1,credit_card,2,19,13,32,2018,2,3,Saturday
delivered,6509.00,1,1,credit_card,1,2,6,8,2018,7,29,Sunday
delivered,10349.00,1,1,credit_card,6,20,16,36,2018,2,21,Wednseday
delivered,4772.00,2,1,credit_card,3,12,12,24,2017,5,19,Friday
delivered,11774.00,8,1,credit_card,19,34,-7,27,2017,11,24,Friday
delivered,16604.00,1,1,boleto,4,19,13,32,2017,12,15,Friday
delivered,36898.00,1,1,boleto,0,4,16,20,2017,8,31,Thursday
delivered,38780.00,8,1,credit_card,1,5,5,10,2018,8,5,Sunday
delivered,21082.00,4,1,credit_card,3,18,4,22,2018,2,19,Monday
delivered,6946.00,1,1,voucher,2,5,8,13,2018,6,13,Wednseday
delivered,7830.00,2,1,credit_card,2,9,9,18,2018,7,15,Sunday
delivered,5080.00,1,1,voucher,2,3,9,12,2017,9,13,Wednseday
delivered,7710.00,1,1,boleto,5,9,11,20,2018,2,15,Thursday
delivered,56640.00,5,1,credit_card,3,17,12,29,2017,2,20,Monday
delivered,5753.00,1,2,voucher,3,10,16,26,2017,9,15,Friday
delivered,4868.00,1,1,credit_card,1,2,15,17,2017,7,30,Sunday
delivered,11771.00,8,1,credit_card,1,5,16,21,2017,4,6,Thursday
delivered,16934.00,3,1,credit_card,1,9,14,23,2017,5,9,Tuesday
delivered,22712.00,1,1,debit_card,3,11,15,26,2017,12,8,Friday
delivered,3478.00,3,1,credit_card,4,13,13,26,2017,8,26,Saturday
delivered,12145.00,2,1,credit_card,3,20,13,33,2017,12,20,Wednseday
delivered,2727.00,1,1,credit_card,1,13,35,48,2018,6,5,Tuesday
delivered,19571.00,3,1,credit_card,0,6,14,20,2017,5,17,Wednseday
delivered,4312.00,1,2,voucher,3,4,-1,3,2018,7,30,Monday
delivered,4099.00,1,1,credit_card,1,10,19,29,2018,2,6,Tuesday
delivered,8178.00,3,1,credit_card,3,11,13,24,2017,7,1,Saturday
delivered,23145.00,3,1,credit_card,2,3,16,19,2017,9,27,Wednseday
delivered,14420.00,7,1,credit_card,16,56,-32,24,2017,11,28,Tuesday
delivered,28579.00,10,1,credit_card,1,6,8,14,2018,8,22,Wednseday
delivered,2763.00,2,1,credit_card,1,13,7,20,2018,5,9,Wednseday
delivered,13456.00,8,1,credit_card,2,55,-32,23,2017,11,26,Sunday
delivered,9698.00,4,1,credit_card,0,1,17,18,2017,9,29,Friday
delivered,4400.00,1,1,credit_card,1,8,16,24,2018,8,20,Monday
delivered,11011.00,4,1,credit_card,1,21,1,22,2018,1,30,Tuesday
delivered,2249.00,1,4,voucher,5,7,27,34,2018,3,31,Saturday
delivered,6177.00,2,1,credit_card,11,28,15,43,2017,3,30,Thursday
delivered,7575.00,1,1,credit_card,1,2,17,19,2018,4,25,Wednseday
delivered,10677.00,10,1,credit_card,2,9,24,33,2017,12,2,Saturday
delivered,23366.00,1,1,boleto,0,6,22,28,2018,1,9,Tuesday
delivered,26705.00,1,1,credit_card,1,3,17,20,2017,3,28,Tuesday
delivered,18672.00,7,1,credit_card,3,7,20,27,2018,6,8,Friday
delivered,11670.00,1,1,boleto,2,8,20,28,2017,9,20,Wednseday
delivered,9276.00,5,1,credit_card,1,11,19,30,2017,11,27,Monday
delivered,34802.00,8,1,credit_card,3,4,6,10,2018,5,11,Friday
delivered,37574.00,1,1,credit_card,1,4,29,33,2018,6,24,Sunday
delivered,37907.00,10,1,credit_card,0,14,22,36,2017,3,6,Monday
delivered,100273.00,10,1,credit_card,1,7,4,11,2018,4,26,Thursday
delivered,11656.00,1,1,boleto,1,8,21,29,2018,7,15,Sunday
delivered,24052.00,2,1,credit_card,12,19,28,47,2018,5,30,Wednseday
delivered,8872.00,2,1,credit_card,2,5,11,16,2017,9,11,Monday
delivered,4685.00,2,1,credit_card,4,5,6,11,2018,4,15,Sunday
delivered,6854.00,1,1,boleto,2,10,23,33,2018,1,13,Saturday
delivered,3262.00,1,1,boleto,3,12,16,28,2018,4,4,Wednseday
delivered,8206.00,1,1,boleto,2,22,11,33,2018,2,28,Wednseday
delivered,4095.00,1,1,credit_card,2,6,17,23,2017,4,22,Saturday
delivered,6701.00,3,1,credit_card,1,8,4,12,2017,9,13,Wednseday
delivered,2000.00,1,5,voucher,0,2,13,15,2018,1,18,Thursday
delivered,7690.00,1,2,voucher,16,20,7,27,2017,3,14,Tuesday
delivered,4027.00,4,1,credit_card,2,20,10,30,2017,12,20,Wednseday
delivered,24210.00,8,1,credit_card,1,7,24,31,2017,12,4,Monday
delivered,21556.00,2,1,credit_card,6,10,12,22,2018,3,29,Thursday
delivered,34877.00,8,1,credit_card,4,5,13,18,2018,3,15,Thursday
delivered,26946.00,3,1,credit_card,3,23,-1,22,2018,5,15,Tuesday
delivered,4000.00,1,1,credit_card,3,11,16,27,2018,7,13,Friday
delivered,37142.00,1,1,credit_card,0,18,32,50,2017,4,27,Thursday
delivered,22571.00,6,1,credit_card,5,7,14,21,2017,12,6,Wednseday
delivered,10379.00,3,1,credit_card,1,8,18,26,2017,11,30,Thursday
delivered,2009.00,1,2,voucher,1,2,7,9,2018,7,22,Sunday
delivered,5257.00,1,1,credit_card,6,15,3,18,2018,5,17,Thursday
delivered,4743.00,1,1,credit_card,3,16,14,30,2017,9,27,Wednseday
delivered,16857.00,2,1,credit_card,2,13,16,29,2018,2,5,Monday
delivered,13381.00,1,1,credit_card,4,13,7,20,2017,11,16,Thursday
delivered,123.00,1,2,voucher,5,14,12,26,2018,1,31,Wednseday
delivered,25458.00,1,1,credit_card,2,7,0,7,2018,8,8,Wednseday
delivered,40488.00,1,1,boleto,2,13,16,29,2017,12,21,Thursday
delivered,130242.00,1,1,voucher,3,11,26,37,2018,3,18,Sunday
delivered,64580.00,10,1,credit_card,6,12,27,39,2017,1,5,Thursday
delivered,18639.00,1,1,credit_card,14,24,1,25,2017,11,24,Friday
delivered,20841.00,10,1,credit_card,2,10,16,26,2017,12,24,Sunday
delivered,64120.00,3,1,credit_card,4,14,13,27,2018,1,25,Thursday
delivered,5000.00,1,1,voucher,5,10,16,26,2018,6,16,Saturday
delivered,228831.00,10,1,credit_card,1,7,20,27,2018,1,23,Tuesday
delivered,6889.00,1,1,debit_card,1,81,-49,32,2018,2,1,Thursday
delivered,15151.00,2,1,credit_card,2,9,27,36,2018,6,6,Wednseday
delivered,10368.00,1,1,credit_card,2,6,16,22,2018,1,30,Tuesday
delivered,3960.00,1,1,boleto,0,7,22,29,2018,1,10,Wednseday
delivered,15918.00,10,1,credit_card,7,12,25,37,2017,2,8,Wednseday
delivered,23443.00,1,1,credit_card,2,4,20,24,2018,6,30,Saturday
delivered,5238.00,1,1,credit_card,5,11,4,15,2018,7,12,Thursday
delivered,14365.00,3,1,credit_card,1,7,8,15,2018,5,15,Tuesday
