order_status,MAX_FREIGHT,MAX_PRICE,MAX_PAYMENT,MIN_FREIGHT,MIN_PRICE,MIN_PAYMENT,MEDIAN_PRICE,MEDIAN_FREIGHT,MEDIAN_PAYMENT,AVG_FREIGHT,AVG_PRICE,AVG_PAYMENT,ORDER_PURCHASE_YEAR,ORDER_PURCHASE_MONTH,ORDER_PURCHASE_DAY,ORDER_PURCHASE_WEEKDAY,ORDER_PURCHASE_HOUR
delivered,2074.00,12990.00,88980.00,910.00,4890.00,3538.00,8940.000000,1492.000000,46259.000000,1385.800000,8969.000000,24199.600000,2017,1,5,Thursday,12
delivered,3614.00,37490.00,166202.00,845.00,2490.00,3927.00,19990.000000,2229.500000,85064.500000,1725.580000,12635.000000,33367.580000,2017,1,5,Thursday,13
delivered,6429.00,22990.00,7555.00,778.00,2900.00,3678.00,12945.000000,3603.500000,5616.500000,2340.750000,9150.000000,5613.500000,2017,1,5,Thursday,15
delivered,8837.00,24990.00,8325.00,8837.00,24990.00,8325.00,24990.000000,8837.000000,8325.000000,8837.000000,24990.000000,8325.000000,2017,1,5,Thursday,19
delivered,1517.00,5999.00,17028.00,1517.00,5999.00,17028.00,5999.000000,1517.000000,17028.000000,1517.000000,5999.000000,17028.000000,2017,1,5,Thursday,22
delivered,3455.00,29500.00,37214.00,3455.00,29500.00,37214.00,29500.000000,3455.000000,37214.000000,3455.000000,29500.000000,37214.000000,2017,1,6,Friday,13
delivered,1847.00,8489.00,12821.00,1347.00,1490.00,9330.00,4989.500000,1597.000000,11075.500000,1597.000000,4989.500000,11075.500000,2017,1,6,Friday,21
delivered,1410.00,3990.00,15039.00,1410.00,3990.00,15039.00,3990.000000,1410.000000,15039.000000,1410.000000,3990.000000,15039.000000,2017,1,7,Saturday,0
delivered,1929.00,9999.00,5227.00,1929.00,9999.00,5227.00,9999.000000,1929.000000,5227.000000,1929.000000,9999.000000,5227.000000,2017,1,7,Saturday,13
delivered,1708.00,2189.00,13727.00,1708.00,2189.00,13727.00,2189.000000,1708.000000,13727.000000,1708.000000,2189.000000,13727.000000,2017,1,7,Saturday,20
delivered,1579.00,14800.00,13308.00,888.00,5999.00,2400.00,10399.500000,1233.500000,7854.000000,1233.500000,10399.500000,7854.000000,2017,1,8,Sunday,20
delivered,3936.00,31700.00,3397.00,3936.00,31700.00,3397.00,31700.000000,3936.000000,3397.000000,3936.000000,31700.000000,3397.000000,2017,1,9,Monday,0
delivered,1895.00,59980.00,19329.00,1895.00,59980.00,19329.00,59980.000000,1895.000000,19329.000000,1895.000000,59980.000000,19329.000000,2017,1,9,Monday,14
delivered,1876.00,9397.00,17591.00,778.00,4490.00,7757.00,6943.500000,1327.000000,12674.000000,1327.000000,6943.500000,12674.000000,2017,1,9,Monday,21
delivered,1198.00,6900.00,12307.00,1198.00,6900.00,12307.00,6900.000000,1198.000000,12307.000000,1198.000000,6900.000000,12307.000000,2017,1,10,Tuesday,14
delivered,1243.00,6990.00,960.00,1243.00,6990.00,960.00,6990.000000,1243.000000,960.000000,1243.000000,6990.000000,960.000000,2017,1,10,Tuesday,16
delivered,1625.00,4999.00,11363.00,1625.00,4999.00,11363.00,4999.000000,1625.000000,11363.000000,1625.000000,4999.000000,11363.000000,2017,1,10,Tuesday,19
delivered,780.00,7800.00,16022.00,780.00,7800.00,16022.00,7800.000000,780.000000,16022.000000,780.000000,7800.000000,16022.000000,2017,1,11,Wednseday,10
delivered,778.00,4999.00,5906.00,778.00,4999.00,5906.00,4999.000000,778.000000,5906.000000,778.000000,4999.000000,5906.000000,2017,1,11,Wednseday,12
delivered,2768.00,19499.00,10666.00,2768.00,19499.00,10666.00,19499.000000,2768.000000,10666.000000,2768.000000,19499.000000,10666.000000,2017,1,11,Wednseday,19
delivered,778.00,2900.00,7153.00,778.00,2900.00,7153.00,2900.000000,778.000000,7153.000000,778.000000,2900.000000,7153.000000,2017,1,11,Wednseday,22
delivered,2328.00,2390.00,617.00,2328.00,2390.00,617.00,2390.000000,2328.000000,617.000000,2328.000000,2390.000000,617.000000,2017,1,11,Wednseday,23
delivered,1825.00,8957.00,20389.00,1800.00,2200.00,18604.00,5578.500000,1812.500000,19496.500000,1812.500000,5578.500000,19496.500000,2017,1,12,Thursday,12
delivered,1248.00,1990.00,22793.00,1248.00,1990.00,22793.00,1990.000000,1248.000000,22793.000000,1248.000000,1990.000000,22793.000000,2017,1,12,Thursday,15
delivered,3840.00,14990.00,17827.00,2377.00,3980.00,3761.00,9485.000000,3108.500000,10794.000000,3108.500000,9485.000000,10794.000000,2017,1,12,Thursday,20
delivered,1096.00,1990.00,31348.00,1096.00,1990.00,31348.00,1990.000000,1096.000000,31348.000000,1096.000000,1990.000000,31348.000000,2017,1,13,Friday,0
delivered,2171.00,8990.00,15380.00,1308.00,3500.00,12648.00,6245.000000,1739.500000,14014.000000,1739.500000,6245.000000,14014.000000,2017,1,13,Friday,15
delivered,1176.00,16499.00,18300.00,1176.00,16499.00,18300.00,16499.000000,1176.000000,18300.000000,1176.000000,16499.000000,18300.000000,2017,1,13,Friday,22
