product_category_name,QTY_PRODUCT,MAX_WEIGHT,MAX_VOLUME,MIN_WEIGHT,MIN_VOLUME,AVG_VOLUME,AVG_WEIGHT,MEDIAN_VOLUME,MEDIAN_WEIGHT
casa_conforto_2,5,3750.0,42000,425.0,8000,20938,1467.600000,25000,2087.500000
perfumaria,868,16050.0,85680,50.0,352,5136,529.256912,43016,8050.000000
fashion_calcados,173,9000.0,34320,100.0,1800,8478,1044.508670,18060,4550.000000
pcs,30,25950.0,155610,200.0,4096,44635,7995.333333,79853,13075.000000
artigos_de_natal,65,15400.0,72000,50.0,528,13947,1849.815384,36264,7725.000000
bebidas,81,9900.0,50400,100.0,1760,11217,1736.172839,26080,5000.000000
construcao_ferramentas_jardim,88,25750.0,74800,65.0,352,13399,2401.034090,37576,12907.500000
construcao_ferramentas_seguranca,91,9450.0,37500,53.0,352,7472,950.769230,18926,4751.500000
telefonia,1134,8100.0,22800,50.0,352,1865,236.506172,11576,4075.000000
automotivo,1900,30000.0,216000,50.0,352,16603,2654.650526,108176,15025.000000
flores,14,6000.0,20000,200.0,1936,6334,1403.571428,10968,3100.000000
industria_comercio_e_negocios,68,30000.0,207690,200.0,1955,37372,5929.191176,104822,15100.000000
fashion_bolsas_e_acessorios,849,21100.0,144000,50.0,352,4480,426.764428,72176,10575.000000
beleza_saude,2444,30000.0,270000,50.0,352,10468,1434.793780,135176,15025.000000
telefonia_fixa,116,6050.0,60000,50.0,352,5018,660.827586,30176,3050.000000
alimentos_bebidas,104,10800.0,57000,50.0,352,7947,1307.932692,28676,5425.000000
dvds_blu_ray,48,2600.0,14432,90.0,560,1746,381.562500,7496,1345.000000
artes,55,15400.0,73500,100.0,880,10668,1691.763636,37190,7750.000000
eletronicos,517,24050.0,144000,60.0,288,7962,1275.085106,72144,12055.000000
moveis_sala,156,30000.0,294000,400.0,1600,54486,8934.846153,147800,15200.000000
brinquedos,1411,30000.0,228480,50.0,352,19625,1869.356484,114416,15025.000000
sinalizacao_e_seguranca,93,27100.0,187850,100.0,1024,22583,2969.817204,94437,13600.000000
utilidades_domesticas,2335,30000.0,296208,50.0,352,21904,3020.793576,148280,15025.000000
fashion_roupa_feminina,27,1700.0,54000,200.0,352,7165,572.222222,27176,950.000000
fashion_roupa_infanto_juvenil,5,600.0,12000,100.0,3135,7590,324.000000,7567,350.000000
agro_industria_e_comercio,74,30000.0,232848,50.0,510,37604,5263.405405,116679,15025.000000
cine_foto,28,5500.0,37600,100.0,760,6952,795.785714,19180,2800.000000
livros_tecnicos,123,8900.0,22000,110.0,352,2758,1107.845528,11176,4505.000000
fashion_esporte,19,1500.0,68250,100.0,1760,6789,344.736842,35005,800.000000
construcao_ferramentas_iluminacao,78,15750.0,125000,150.0,1536,18897,2280.961538,63268,7950.000000
moveis_quarto,45,30000.0,190440,50.0,352,51038,9997.222222,95396,15025.000000
portateis_casa_forno_e_cafe,31,16550.0,120658,50.0,704,23911,3071.516129,60681,8300.000000
eletrodomesticos_2,90,30000.0,208624,250.0,1705,55476,9913.333333,105164,15125.000000
livros_interesse_geral,216,13300.0,36000,100.0,352,3900,746.611111,18176,6700.000000
pc_gamer,3,2839.0,8712,650.0,5472,7074,1429.666666,7092,1744.500000
relogios_presentes,1329,22175.0,68880,50.0,352,3470,509.287434,34616,11112.500000
portateis_cozinha_e_preparadores_de_alimentos,10,10600.0,30400,625.0,1848,18872,2517.500000,16124,5612.500000
audio,58,6663.0,29791,100.0,352,4970,641.637931,15071,3381.500000
