QTY_SELLERS,seller_city,seller_state
1,rio branco,AC
1,manaus,AM
1,arraial d'ajuda (porto seguro),BA
1,bahia,BA
1,barro alto,BA
1,eunapolis,BA
1,feira de santana,BA
1,guanambi,BA
1,ilheus,BA
1,ipira,BA
1,irece,BA
2,lauro de freitas,BA
1,porto seguro,BA
7,salvador,BA
1,caucaia,CE
1,eusebio,CE
7,fortaleza,CE
1,juzeiro do norte,CE
1,mucambo,CE
1,pacatuba,CE
1,varzea alegre,CE
28,brasilia,DF
1,brasilia df,DF
1,gama,DF
1,afonso claudio,ES
4,cachoeiro de itapemirim,ES
3,cariacica,ES
1,colatina,ES
1,domingos martins,ES
1,muqui,ES
3,serra,ES
1,viana,ES
4,vila velha,ES
4,vitoria,ES
1,abadia de goias,GO
3,anapolis,GO
1,aparecida de goiania,GO
2,formosa,GO
23,goiania,GO
1,jaragua,GO
1,luziania,GO
3,morrinhos,GO
1,piracanjuba,GO
1,rio verde,GO
1,santa terezinha de goias,GO
2,uruacu,GO
1,sao luis,MA
2,alfenas,MG
1,andradas,MG
4,araguari,MG
2,araxa,MG
1,arinos,MG
2,baependi,MG
2,barbacena,MG
1,belo horizont,MG
66,belo horizonte,MG
5,betim,MG
1,bonfinopolis de minas,MG
4,borda da mata,MG
1,camanducaia,MG
1,campanha,MG
1,campo do meio,MG
1,caratinga,MG
1,carmo da mata,MG
1,carmo do cajuru,MG
1,castro pires,MG
1,cataguases,MG
1,centro,MG
6,claudio,MG
1,congonhal,MG
1,congonhas,MG
3,conselheiro lafaiete,MG
12,contagem,MG
2,coronel fabriciano,MG
8,divinopolis,MG
1,divisa nova,MG
2,dores de campos,MG
1,extrema,MG
4,formiga,MG
1,fronteira,MG
1,governador valadares,MG
1,guanhaes,MG
1,guiricema,MG
1,ibia,MG
1,ibirite,MG
1,ilicinea,MG
2,ipatinga,MG
1,itabira,MG
1,itau de minas,MG
2,itauna,MG
2,jacutinga,MG
1,janauba,MG
1,joao monlevade,MG
1,joao pinheiro,MG
9,juiz de fora,MG
2,lagoa da prata,MG
1,lagoa santa,MG
1,lambari,MG
1,mateus leme,MG
1,minas gerais,MG
1,monte siao,MG
3,montes claros,MG
1,muriae,MG
1,nova lima,MG
1,oliveira,MG
1,ouro fino,MG
1,ouro preto,MG
1,passos,MG
2,patos de minas,MG
1,pedro leopoldo,MG
5,pocos de caldas,MG
1,ponte nova,MG
1,pouso alegre,MG
1,prados,MG
