TIME_TO_CARRY,TIME_TO_DELIVER_ORDER,COMPARE_ESTIMATED_TO_DELIVERED_TIME,ESTIMATED_TIME_TO_DELIVERY,ORDER_PURCHASE_YEAR,ORDER_PURCHASE_MONTH,ORDER_PURCHASE_DAY,ORDER_PURCHASE_WEEKDAY
2,14,6,20,2018,7,24,Tuesday
4,14,13,27,2017,11,18,Saturday
3,10,32,42,2017,1,23,Monday
4,12,29,41,2018,6,7,Thursday
18,21,-11,10,2017,9,18,Monday
16,18,26,44,2018,1,8,Monday
8,14,7,21,2018,5,2,Wednseday
2,19,13,32,2018,2,3,Saturday
1,2,6,8,2018,7,29,Sunday
6,20,16,36,2018,2,21,Wednseday
3,12,12,24,2017,5,19,Friday
19,34,-7,27,2017,11,24,Friday
4,19,13,32,2017,12,15,Friday
0,4,16,20,2017,8,31,Thursday
1,5,5,10,2018,8,5,Sunday
3,18,4,22,2018,2,19,Monday
2,5,8,13,2018,6,13,Wednseday
2,9,9,18,2018,7,15,Sunday
2,3,9,12,2017,9,13,Wednseday
5,9,11,20,2018,2,15,Thursday
3,17,12,29,2017,2,20,Monday
3,10,16,26,2017,9,15,Friday
1,2,15,17,2017,7,30,Sunday
1,5,16,21,2017,4,6,Thursday
1,9,14,23,2017,5,9,Tuesday
3,11,15,26,2017,12,8,Friday
4,13,13,26,2017,8,26,Saturday
3,20,13,33,2017,12,20,Wednseday
1,13,35,48,2018,6,5,Tuesday
0,6,14,20,2017,5,17,Wednseday
3,4,-1,3,2018,7,30,Monday
1,10,19,29,2018,2,6,Tuesday
3,11,13,24,2017,7,1,Saturday
2,3,16,19,2017,9,27,Wednseday
16,56,-32,24,2017,11,28,Tuesday
1,6,8,14,2018,8,22,Wednseday
1,13,7,20,2018,5,9,Wednseday
2,55,-32,23,2017,11,26,Sunday
0,1,17,18,2017,9,29,Friday
1,8,16,24,2018,8,20,Monday
1,21,1,22,2018,1,30,Tuesday
5,7,27,34,2018,3,31,Saturday
11,28,15,43,2017,3,30,Thursday
1,2,17,19,2018,4,25,Wednseday
2,9,24,33,2017,12,2,Saturday
0,6,22,28,2018,1,9,Tuesday
1,3,17,20,2017,3,28,Tuesday
