customer_state,seller_state,customer_city,seller_city,DENSE_RANK_CUSTOMER_SELLER_STATE
AC,SP,rio branco,sao paulo,1
AC,MG,rio branco,sete lagoas,2
AC,GO,rio branco,morrinhos,3
AC,SP,rio branco,bauru,4
AL,SP,maragogi,barretos,1
AL,RJ,penedo,rio de janeiro,2
AL,SP,maceio,monte alegre do sul,3
AL,PR,maceio,foz do iguacu,4
AL,SP,maceio,sao paulo,5
AL,SP,delmiro gouveia,mogi mirim,6
AL,RS,ibateguara,porto alegre,7
AL,SC,arapiraca,nova trento,8
AL,SP,maceio,igaracu do tiete,9
AL,SP,arapiraca,sao paulo,10
AL,SP,jequia da praia,sao paulo,11
AM,SP,manaus,osasco,1
AM,SP,manaus,sao paulo,2
AM,PR,manaus,curitiba,3
AP,RN,macapa,natal,1
AP,SP,macapa,pedreira,2
BA,SP,vitoria da conquista,sao paulo,1
BA,MG,itabuna,belo horizonte,2
BA,SP,salvador,assis,3
BA,MT,paulo afonso,cuiaba,4
BA,SP,jequie,sao paulo,5
BA,PR,salvador,maringa,6
BA,SP,salvador,sao paulo,7
BA,RS,santa brigida,uruguaiana,8
BA,PR,salvador,curitiba,9
BA,SP,salvador,sao paulo,10
BA,MG,teixeira de freitas,belo horizonte,11
BA,PR,juazeiro,cascavel,12
BA,SP,salvador,ibitinga,13
BA,SP,paulo afonso,sao paulo,14
BA,RS,salvador,canoas,15
BA,MG,salvador,pocos de caldas,16
BA,SP,salvador,sao jose dos campos,17
BA,SP,buritirama,tupa,18
BA,SP,valenca,sao paulo,19
BA,MG,valenca,sao joao del rei,20
BA,MG,salvador,betim,21
BA,PR,salvador,foz do iguacu,22
BA,SP,salvador,sao paulo,23
BA,SP,jequie,santo andre,24
BA,SP,ilheus,igaracu do tiete,25
BA,SP,salvador,sao paulo,26
BA,MG,euclides da cunha,belo horizonte,27
BA,SP,salvador,sao paulo,28
BA,SP,salvador,sao paulo,29
BA,SP,bom jesus da lapa,serra negra,30
BA,SP,guanambi,mogi das cruzes,31
BA,RJ,santa maria da vitoria,belford roxo,32
BA,SP,salvador,santo andre,33
BA,MG,alagoinhas,uba,34
BA,SP,luis eduardo magalhaes,jundiai,35
BA,PR,mucuri,maringa,36
BA,RJ,tanhacu,rio de janeiro,37
BA,SP,ubaira,sao paulo,38
BA,SP,salvador,sao paulo,39
BA,SP,capim grosso,campinas,40
BA,SP,ipira,campinas,41
BA,SP,inhambupe,ibitinga,42
BA,MG,feira de santana,belo horizonte,43
BA,SP,feira de santana,mogi das cruzes,44
BA,PR,ilheus,maringa,45
BA,SP,salvador,sao paulo,46
BA,PR,inhambupe,curitiba,47
BA,SP,vitoria da conquista,chapeco,48
BA,SC,salvador,joinville,49
BA,SP,salvador,itajobi,50
BA,SP,brejolandia,santo andre,51
BA,SP,senhor do bonfim,andradas,52
BA,SP,jacobina,olimpia,53
BA,MG,cruz das almas,belo horizonte,54
BA,SP,feira de santana,sao paulo,55
BA,SP,ilheus,sao  paulo,56
BA,PR,salvador,curitiba,57
BA,SP,vitoria da conquista,diadema,58
BA,SP,salvador,osasco,59
BA,SP,salvador,pompeia,60
BA,SP,salvador,sao paulo,61
BA,SP,guanambi,curitiba,62
BA,PR,queimadas,francisco beltrao,63
BA,SP,salvador,campinas,64
BA,PR,luis eduardo magalhaes,fazenda rio grande,65
BA,MG,salvador,baependi,66
BA,SP,salvador,sao paulo,67
BA,MG,salvador,uberlandia,68
BA,RJ,salvador,rio de janeiro,69
BA,SP,aracatu,marilia,70
BA,SP,vitoria da conquista,sao paulo,71
BA,SP,luis eduardo magalhaes,jacarei,72
BA,SP,salvador,sao jose do rio preto,73
BA,RJ,jeremoabo,santo antonio de padua,74
BA,SP,candido sales,sao paulo,75
BA,SC,itarantim,blumenau,76
BA,PR,salvador,apucarana,77
BA,PR,salvador,curitiba,78
BA,SP,salvador,sao carlos,79
BA,SP,itabuna,sao paulo,80
BA,PR,guanambi,campo largo,81
BA,SP,salvador,sao paulo,82
BA,SP,itapetinga,sao paulo,83
BA,SP,salvador,sao jose do rio preto,84
BA,PR,salvador,curitiba,85
BA,PR,serrinha,colombo,86
BA,SP,feira de santana,santo andre,87
BA,MG,arembepe,juiz de fora,88
BA,RS,boquira,novo hamburgo,89
BA,SC,salvador,paulo lopes,90
BA,RJ,salvador,sao joao de meriti,91
BA,SP,salvador,sao jose do rio preto,92
BA,SP,salvador,ibitinga,93
BA,SP,itacare,campinas,94
BA,MG,itaberaba,montes claros,95
BA,SP,salvador,limeira,96
BA,PR,serrolandia,curitiba,97
BA,RJ,nucleo residencial pilar,armacao dos buzios,98
BA,MG,ubata,belo horizonte,99
BA,SP,salvador,sao paulo,100
BA,PR,ubaira,paranavai,101
BA,SP,brumado,sao paulo,102
BA,DF,salvador,brasilia,103
BA,RJ,teixeira de freitas,rio de janeiro,104
BA,SP,salvador,taboao da serra,105
BA,RJ,serrinha,rio de janeiro,106
BA,SP,itabuna,sao caetano do sul,107
BA,SP,salvador,sao paulo,108
BA,RJ,feira de santana,sao joao de meriti,109
BA,SP,rio do antonio,sao paulo,110
BA,MG,salvador,belo horizonte,111
CE,SP,parambu,sao paulo,1
CE,SP,fortaleza,sao paulo,2
CE,SP,camocim,itaquaquecetuba,3
CE,SP,fortaleza,ferraz de vasconcelos,4
CE,PR,fortaleza,maringa,5
CE,PR,maracanau,mandirituba,6
CE,SP,tiangua,sao paulo,7
CE,SP,fortaleza,osasco,8
CE,ES,fortaleza,viana,9
CE,PR,fortaleza,maringa,10
CE,SP,fortaleza,marilia,11
CE,SP,independencia,campinas,12
CE,SC,fortaleza,sao francisco do sul,13
CE,MG,sobral,itauna,14
CE,SP,caucaia,sao paulo,15
CE,SP,eusebio,sao jose do rio preto,16
CE,SP,carius,sao paulo,17
CE,SP,fortaleza,sao paulo,18
CE,MG,fortaleza,borda da mata,19
CE,MG,jaguaribara,conselheiro lafaiete,20
CE,SP,fortaleza,campinas,21
CE,SP,fortaleza,braganca paulista,22
CE,SP,fortaleza,tanabi,23
CE,SP,parambu,sao carlos,24
CE,SP,carire,mineiros do tiete,25
CE,SC,russas,itajai,26
CE,SP,fortaleza,sao paulo,27
CE,SP,croata,lencois paulista,28
CE,SP,pacoti,fernandopolis,29
CE,SP,fortaleza,bauru,30
CE,SP,fortaleza,santo andre,31
CE,MG,fortaleza,sete lagoas,32
CE,SP,reriutaba,clementina,33
CE,SP,caninde,pedreira,34
CE,SC,fortaleza,xanxere,35
CE,MG,fortaleza,contagem,36
CE,RJ,fortaleza,barra mansa,37
CE,SP,hidrolandia,osasco,38
CE,PR,fortaleza,curitiba,39
CE,SP,redencao,sao paulo,40
CE,MG,fortaleza,belo horizonte,41
CE,SP,fortaleza,riberao preto,42
DF,SP,brasilia,sao paulo,1
DF,PE,brasilia,caruaru,2
DF,SP,brasilia,pederneiras,3
DF,SP,brasilia,sao jose dos campos,4
DF,MG,brasilia,vespasiano,5
DF,BA,brasilia,barro alto,6
DF,MG,brasilia,divinopolis,7
DF,SP,brasilia,mombuca,8
DF,RJ,brasilia,rio de janeiro,9
DF,MG,brasilia,uba,10
DF,PR,brasilia,guaratuba,11
DF,SP,brasilia,birigui,12
DF,SP,brasilia,sao paulo,13
DF,RS,brasilia,carazinho,14
DF,RS,brasilia,porto alegre,15
DF,SP,brasilia,sao paulo,16
DF,SP,brasilia,sao paulo,17
DF,SP,brasilia,araras,18
DF,SP,brasilia,sbc,19
DF,SP,brasilia,limeira,20
DF,PR,brasilia,cascavel,21
DF,SC,brasilia,blumenau,22
DF,SP,brasilia,guarulhos,23
DF,SP,brasilia,ibitinga,24
DF,SP,brasilia,sao bernardo do campo,25
DF,SP,brasilia,sao jose do rio preto,26
DF,RJ,brasilia,nova friburgo,27
DF,SP,brasilia,sao paulo,28
DF,RJ,brasilia,rio de janeiro,29
DF,PR,brasilia,curitiba,30
DF,SP,brasilia,embu das artes,31
DF,SP,brasilia,sao paulo,32
DF,SP,brasilia,embu das artes,33
DF,SC,brasilia,gaspar,34
DF,SP,brasilia,itapetininga,35
DF,MG,brasilia,belo horizonte,36
DF,SP,brasilia,ribeirao preto,37
DF,SP,brasilia,sao paulo,38
DF,SP,brasilia,sao paulo,39
DF,SP,brasilia,sao paulo,40
DF,RS,brasilia,imbe,41
DF,SP,brasilia,maua,42
DF,SP,brasilia,guaira,43
DF,RS,brasilia,santa maria,44
DF,SP,brasilia,itatiba,45
DF,SP,brasilia,sao paulo,46
DF,SP,brasilia,sao paulo,47
DF,SP,brasilia,ferraz de vasconcelos,48
DF,SP,brasilia,sao paulo,49
DF,SP,brasilia,mogi das cruzes,50
DF,SP,brasilia,sao paulo,51
DF,SP,brasilia,ribeirao preto,52
DF,MG,brasilia,santa rita do sapucai,53
DF,MG,brasilia,belo horizonte,54
